Order,Level,Code,Parent,Description,Cette catégorie comprend,Cette catégorie comprend aussi,Cette catégorie ne comprend pas,"Décisions de classement (""rulings"")",Cette catégorie comprend,Cette catégorie comprend aussi,Cette catégorie ne comprend pas
508224,6,01.11.73,01.11.7,"Pois chiches, secs",,,,,,,
508225,6,01.11.74,01.11.7,"Lentilles, sèches",,,,,,,
508226,6,01.11.75,01.11.7,"Pois, secs",,,,,,,
508227,6,01.11.79,01.11.7,"Légumes à cosse, secs n.c.a.",,,,,,,
508228,5,01.11.8,01.11,"Fèves de soja, arachides et graines de coton",,,,,,,
508229,6,01.11.81,01.11.8,Fèves de soja,,,,,,,
508230,6,01.11.82,01.11.8,"Arachides, en coque",,,,,,,
508231,6,01.11.83,01.11.8,"Arachides, décortiquées",,,,,,,
508232,6,01.11.84,01.11.8,Graines de coton,,,,,,,
508233,5,01.11.9,01.11,Autres oléagineux,,,,,,,
508234,6,01.11.91,01.11.9,Graines de lin,,,,,,,
508235,6,01.11.92,01.11.9,Graines de moutarde,,,,,,,
508236,6,01.11.93,01.11.9,Graines de colza,,,,,,,
508237,6,01.11.94,01.11.9,Graines de sésame,,,,,,,
508238,6,01.11.95,01.11.9,Graines de tournesol,,,,,,,
508239,6,01.11.99,01.11.9,Autres oléagineux n.c.a.,,,,,,,
508240,4,01.12,01.1,"Riz, non décortiqué",,,,,,,
508241,5,01.12.1,01.12,"Riz, non décortiqué",,,,,,,
508242,6,01.12.10,01.12.1,"Riz, non décortiqué",,,,,,,
508243,4,01.13,01.1,"Légumes et melons, racines et tubercules",,,,,,,
508244,5,01.13.1,01.13,Légumes à feuilles ou à tiges,,,,,,,
508245,6,01.13.11,01.13.1,Asperges,,,,,,,
508246,6,01.13.12,01.13.1,Choux,,,,,,,
508247,6,01.13.13,01.13.1,Choux-fleurs et brocolis,,,,,,,
508248,6,01.13.14,01.13.1,Laitues,,,,,,,
508249,6,01.13.15,01.13.1,Chicorées,,,,,,,
508250,6,01.13.16,01.13.1,Épinards,,,,,,,
508251,6,01.13.17,01.13.1,Artichauts,,,,,,,
508252,6,01.13.19,01.13.1,Autres légumes à feuilles ou à tiges,,,,,,,
508253,5,01.13.2,01.13,Melons,,,,,,,
508254,6,01.13.21,01.13.2,Pastèques,,,,,,,
508255,6,01.13.29,01.13.2,Autres melons,,,,,,,
508256,5,01.13.3,01.13,Autres légumes à fruits,,,,,,,
508257,6,01.13.31,01.13.3,"Piments et poivrons, verts (uniquement Capsicum)",,,,,,,
508258,6,01.13.32,01.13.3,Concombres et cornichons,,,,,,,
508259,6,01.13.33,01.13.3,Aubergines,,,,,,,
508260,6,01.13.34,01.13.3,Tomates,,,,,,,
508261,6,01.13.39,01.13.3,Autres légumes à fruits n.c.a.,"Cette sous-catégorie comprend:
- les courgettes
- le maïs doux
- les citrouilles, les courges et les autres légumes à fruits n.c.a.",,,,"This subcategory includes:
- growing of courgettes
- growing of sweet corn
- growing of pumpkins, squash and other fruit bearing vegetables n.e.c.",,
508262,5,01.13.4,01.13,"Légumes à racine, à bulbe ou à tubercules",,,,,,,
508263,6,01.13.41,01.13.4,Carottes et navets,,,,,,,
508264,6,01.13.42,01.13.4,Ail,,,,,,,
508265,6,01.13.43,01.13.4,Oignons,"Cette sous-catégorie comprend:
- les oignons et les échalotes",,,,"This subcategory includes:
- growing of onions and shallots",,
508266,6,01.13.44,01.13.4,Poireaux et autres alliacés,,,,,,,
508267,6,01.13.49,01.13.4,"Autres légumes à racine, à bulbe ou à tubercules (ne présentant pas une forte teneur en amidon ou inuline)",,,,,,,
508268,5,01.13.5,01.13,Racines et tubercules à amidon ou inuline comestibles,,,,,,,
508269,6,01.13.51,01.13.5,Pommes de terre,,,,,,,
508270,6,01.13.52,01.13.5,Patates douces,,,,,,,
508271,6,01.13.53,01.13.5,Manioc,,,,,,,
508272,6,01.13.59,01.13.5,Autres racines et tubercules à amidon ou inuline comestibles,,,,,,,
508273,5,01.13.6,01.13,"Plants et semences potagers, à l’exclusion des semences de betteraves",,,,,,,
508274,6,01.13.60,01.13.6,"Plants et semences potagers, à l’exclusion des semences de betteraves",,,,,,,
508275,5,01.13.7,01.13,Betteraves à sucre et semences de betteraves à sucre,,,,,,,
508276,6,01.13.71,01.13.7,Betteraves à sucre,,,,,,,
508277,6,01.13.72,01.13.7,Semences de betteraves à sucre,,,,,,,
508278,5,01.13.8,01.13,Champignons et truffes,,,,,,,
508279,6,01.13.80,01.13.8,Champignons et truffes,,,,,,,
508280,5,01.13.9,01.13,Légumes frais n.c.a.,,,,,,,
508281,6,01.13.90,01.13.9,Légumes frais n.c.a.,,,,,,,
508282,4,01.14,01.1,Cannes à sucre,,,,,,,
508283,5,01.14.1,01.14,Cannes à sucre,,,,,,,
508284,6,01.14.10,01.14.1,Cannes à sucre,,,,,,,
508285,4,01.15,01.1,Tabac brut,,,,,,,
508286,5,01.15.1,01.15,Tabac brut,,,,,,,
508287,6,01.15.10,01.15.1,Tabac brut,,,,,,,
508288,4,01.16,01.1,Plantes textiles,,,,,,,
508289,5,01.16.1,01.16,Plantes textiles,,,,,,,
508290,6,01.16.11,01.16.1,"Coton, égrené ou en masse",,,,,,,
508291,6,01.16.12,01.16.1,"Jute, kénaf et autres fibres libériennes, bruts ou rouis, à l’exclusion du lin, du chanvre commun et de la ramie",,,,,,,
508292,6,01.16.19,01.16.1,"Lin, chanvre commun et plantes textiles brutes n.c.a.",,,,,,,
508293,4,01.19,01.1,Autres cultures non permanentes,,,,,,,
508294,5,01.19.1,01.19,Plantes fourragères,,,,,,,
508295,6,01.19.10,01.19.1,Plantes fourragères,"Cette sous-catégorie comprend:
- les rutabagas, les betteraves fourragères, les racines fourragères, la luzerne, le trèfle, le sainfoin, le maïs fourrager, les choux fourragers et les autres produits fourragers similaires",,"Cette sous-catégorie ne comprend pas:
- les poudres et pellets de plantes fourragères, voir 10.91",,"This subcategory includes:
- swedes, mangolds, fodder roots, clover, alfalfa (lucerne), sainfoin, fodder maize and other grasses, forage kale and similar forage products",,"This subcategory excludes:
- pellets and meals of forage crops, see 10.91"
508296,5,01.19.2,01.19,Fleurs coupées et boutons de fleurs; semences florales,,,,,,,
508297,6,01.19.21,01.19.2,Fleurs coupées et boutons de fleurs,,,,,,,
508298,6,01.19.22,01.19.2,Semences florales,,,,,,,
508299,5,01.19.3,01.19,"Semences de betteraves et de plantes fourragères, autres produits végétaux bruts",,,,,,,
508300,6,01.19.31,01.19.3,Semences de betteraves (à l’exclusion des semences de betteraves à sucre) et de plantes fourragères,,,,,,,
508301,6,01.19.39,01.19.3,Produits végétaux bruts n.c.a.,,,,,,,
508302,3,01.2,1,Cultures permanentes,,,,,,,
508303,4,01.21,01.2,Raisin,,,,,,,
508304,5,01.21.1,01.21,Raisin,,,,,,,
508305,6,01.21.11,01.21.1,Raisin de table,,,,,,,
508306,6,01.21.12,01.21.1,"Autre raisin, frais",,,,,,,
508307,4,01.22,01.2,Fruits tropicaux et subtropicaux,,,,,,,
508308,5,01.22.1,01.22,Fruits tropicaux et subtropicaux,,,,,,,
508309,6,01.22.11,01.22.1,Avocats,,,,,,,
508310,6,01.22.12,01.22.1,"Bananes, bananes plantains et assimilés",,,,,,,
508311,6,01.22.13,01.22.1,Dattes,,,,,,,
508312,6,01.22.14,01.22.1,Figues,,,,,,,
508313,6,01.22.19,01.22.1,Autres fruits tropicaux et subtropicaux,,,,,,,
508314,4,01.23,01.2,Agrumes,,,,,,,
508315,5,01.23.1,01.23,Agrumes,,,,,,,
508316,6,01.23.11,01.23.1,Pomelos et pamplemousses,,,,,,,
508317,6,01.23.12,01.23.1,Citrons et limes,,,,,,,
508318,6,01.23.13,01.23.1,Oranges,,,,,,,
508319,6,01.23.14,01.23.1,Mandarines et clémentines,,,,,,,
508320,6,01.23.19,01.23.1,Autres agrumes,,,,,,,
508321,4,01.24,01.2,Fruits à pépins et à noyau,,,,,,,
508322,5,01.24.1,01.24,Pommes,,,,,,,
508323,6,01.24.10,01.24.1,Pommes,,,,,,,
508324,5,01.24.2,01.24,Autres fruits à pépins et à noyau,,,,,,,
508325,6,01.24.21,01.24.2,Poires,,,,,,,
508326,6,01.24.22,01.24.2,Coings,,,,,,,
508327,6,01.24.23,01.24.2,Abricots,,,,,,,
508328,6,01.24.24,01.24.2,Cerises,,,,,,,
508329,6,01.24.25,01.24.2,Pêches,,,,,,,
508330,6,01.24.26,01.24.2,Nectarines,,,,,,,
508331,6,01.24.27,01.24.2,Prunes,,,,,,,
508332,6,01.24.28,01.24.2,Prunelles,,,,,,,
508333,6,01.24.29,01.24.2,Autres fruits à pépins et à noyau n.c.a.,,,,,,,
508334,4,01.25,01.2,Autres fruits d’arbres ou d’arbustes et fruits à coque,,,,,,,
508335,5,01.25.1,01.25,Baies et fruits du genre Vaccinium,,,,,,,
508336,6,01.25.11,01.25.1,Kiwis,,,,,,,
508337,6,01.25.12,01.25.1,Framboises,,,,,,,
508338,6,01.25.13,01.25.1,Fraises,,,,,,,
508339,6,01.25.19,01.25.1,"Autres baies, fruits du genre Vaccinium n.c.a.","Cette sous-catégorie comprend:
- les canneberges, les myrtilles, les airelles rouges, les airelles noires, les airelles myrtilles
- les groseilles et groseilles à maquereaux",,,,"This subcategory includes:
- cranberry, blueberry, lingonberry, bilberry, huckleberry
- currant and gooseberries",,
508340,5,01.25.2,01.25,Semences fruitières,,,,,,,
508341,6,01.25.20,01.25.2,Semences fruitières,,,,,,,
508342,5,01.25.3,01.25,"Fruits à coque (à l’exclusion des noix sauvages, arachides et noix de coco)",,,,,,,
508343,6,01.25.31,01.25.3,Amandes,,,,,,,
508344,6,01.25.32,01.25.3,Châtaignes et marrons,,,,,,,
508345,6,01.25.33,01.25.3,Noisettes,,,,,,,
508346,6,01.25.34,01.25.3,Pistaches,,,,,,,
508347,6,01.25.35,01.25.3,Noix,,,,,,,
508348,6,01.25.39,01.25.3,"Autres fruits à coque (à l’exclusion des noix sauvages, arachides et noix de coco)",,,,,,,
508349,5,01.25.9,01.25,Autres fruits d’arbres ou d’arbustes n.c.a.,,,,,,,
508350,6,01.25.90,01.25.9,Autres fruits d’arbres ou d’arbustes n.c.a.,,,,,,,
508351,4,01.26,01.2,Fruits oléagineux,,,,,,,
508352,5,01.26.1,01.26,Olives,,,,,,,
508353,6,01.26.11,01.26.1,Olives de table,,,,,,,
508354,6,01.26.12,01.26.1,Olives à huile,,,,,,,
508355,5,01.26.2,01.26,Noix de coco,,,,,,,
508356,6,01.26.20,01.26.2,Noix de coco,,,,,,,
508357,5,01.26.9,01.26,Autres fruits oléagineux,,,,,,,
508358,6,01.26.90,01.26.9,Autres fruits oléagineux,,,,,,,
508359,4,01.27,01.2,Plantes à boissons,,,,,,,
508360,5,01.27.1,01.27,Plantes à boissons,,,,,,,
508361,6,01.27.11,01.27.1,"Café vert, en cerise ou en grain",,,,,,,
508362,6,01.27.12,01.27.1,Thé en feuilles,,,,,,,
508363,6,01.27.13,01.27.1,Maté en feuilles,,,,,,,
508364,6,01.27.14,01.27.1,Cacao en fèves,,,,,,,
508365,4,01.28,01.2,"Plantes à épices, aromatiques, médicinales et pharmaceutiques",,,,,,,
508366,5,01.28.1,01.28,"Épices, brutes",,,,,,,
508367,6,01.28.11,01.28.1,"Poivre (Piper spp.), brut",,,,,,,
508368,6,01.28.12,01.28.1,"Piments et poivrons (Capsicum spp.) séchés, bruts",,,,,,,
508369,6,01.28.13,01.28.1,"Muscade, macis et cardamome, bruts",,,,,,,
508370,6,01.28.14,01.28.1,"Anis, badiane, coriandre, cumin, carvi, fenouil et genièvre, bruts",,,,,,,
508371,6,01.28.15,01.28.1,"Cannelle, brute",,,,,,,
508372,6,01.28.16,01.28.1,"Clous de girofle (entiers), bruts",,,,,,,
508373,6,01.28.17,01.28.1,"Gingembre séché, brut",,,,,,,
508374,6,01.28.18,01.28.1,"Vanille, brute",,,,,,,
508375,6,01.28.19,01.28.1,"Autres épices, brutes",,,,,,,
508376,5,01.28.2,01.28,Houblon en cônes,,,,,,,
508377,6,01.28.20,01.28.2,Houblon en cônes,,,,,,,
508378,5,01.28.3,01.28,"Plantes utilisées principalement en parfumerie, en pharmacie ou à des fins insecticides, fongicides ou similaires",,,,,,,
508379,6,01.28.30,01.28.3,"Plantes utilisées principalement en parfumerie, en pharmacie ou à des fins insecticides, fongicides ou similaires",,,,,,,
508380,4,01.29,01.2,Autres cultures permanentes,,,,,,,
508381,5,01.29.1,01.29,Caoutchouc naturel brut,,,,,,,
508382,6,01.29.10,01.29.1,Caoutchouc naturel brut,,,,,,,
508383,5,01.29.2,01.29,Arbres de Noël coupés,,,,,,,
508384,6,01.29.20,01.29.2,Arbres de Noël coupés,,,,,,,
508385,5,01.29.3,01.29,"Matières premières végétales utilisées principalement pour la vannerie, le rembourrage, la teinture ou le tannage",,,,,,,
508386,6,01.29.30,01.29.3,"Matières premières végétales utilisées principalement pour la vannerie, le rembourrage, la teinture ou le tannage",,,,,,,
508387,3,01.3,1,"Plants: plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons; blanc de champignon",,,,,,,
508388,4,01.30,01.3,"Plants: plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons; blanc de champignon",,,,,,,
508389,5,01.30.1,01.30,"Plants: plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons; blanc de champignon",,,,,,,
508390,6,01.30.10,01.30.1,"Plants: plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons; blanc de champignon",,,,,,,
508391,3,01.4,1,Produits de l’élevage,,,,,,,
508392,4,01.41,01.4,"Vaches laitières, vivantes et lait de vache, brut",,,,,,,
508393,5,01.41.1,01.41,"Vaches laitières, vivantes",,,,,,,
508394,6,01.41.10,01.41.1,"Vaches laitières, vivantes",,,,,,,
508395,5,01.41.2,01.41,"Lait de vache, brut",,,,,,,
508396,6,01.41.20,01.41.2,"Lait de vache, brut",,,,,,,
508397,4,01.42,01.4,"Autres bovins et buffles, vivants et leur sperme",,,,,,,
508398,5,01.42.1,01.42,"Autres bovins et buffles, vivants",,,,,,,
508399,6,01.42.11,01.42.1,"Autres bovins et buffles, à l’exclusion des veaux, vivants",,,,,,,
508400,6,01.42.12,01.42.1,"Veaux et bufflons, vivants",,,,,,,
508401,5,01.42.2,01.42,Sperme de taureau et de buffle,,,,,,,
508402,6,01.42.20,01.42.2,Sperme de taureau et de buffle,,,,,,,
508403,4,01.43,01.4,"Chevaux et autres équidés, vivants",,,,,,,
508404,5,01.43.1,01.43,"Chevaux et autres équidés, vivants",,,,,,,
508405,6,01.43.10,01.43.1,"Chevaux et autres équidés, vivants",,,,,,,
508406,4,01.44,01.4,"Chameaux et autres camélidés, vivants",,,,,,,
508407,5,01.44.1,01.44,"Chameaux et autres camélidés, vivants",,,,,,,
508408,6,01.44.10,01.44.1,"Chameaux et autres camélidés, vivants",,,,,,,
508409,4,01.45,01.4,"Ovins et caprins, vivants; lait de brebis et de chèvre brut, laine en suint et poils d’ovins et de caprins",,,,,,,
508410,5,01.45.1,01.45,"Ovins et caprins, vivants",,,,,,,
508411,6,01.45.11,01.45.1,"Ovins, vivants",,,,,,,
508412,6,01.45.12,01.45.1,"Caprins, vivants",,,,,,,
508413,5,01.45.2,01.45,"Lait de brebis et de chèvre, brut",,,,,,,
508414,6,01.45.21,01.45.2,"Lait de brebis, brut",,,,,,,
508415,6,01.45.22,01.45.2,"Lait de chèvre, brut",,,,,,,
508416,5,01.45.3,01.45,Laine en suint et poils d’ovins et de caprins,,,,,,,
508417,6,01.45.30,01.45.3,Laine en suint et poils d’ovins et de caprins,,,,,,,
508418,4,01.46,01.4,"Porcins, vivants",,,,,,,
508419,5,01.46.1,01.46,"Porcins, vivants",,,,,,,
508420,6,01.46.10,01.46.1,"Porcins, vivants",,,,,,,
508421,4,01.47,01.4,Volailles vivantes et œufs,,,,,,,
508422,5,01.47.1,01.47,"Volailles, vivantes",,,,,,,
508423,6,01.47.11,01.47.1,"Poulets, vivants",,,,,,,
508424,6,01.47.12,01.47.1,"Dindes, vivantes",,,,,,,
508425,6,01.47.13,01.47.1,"Oies, vivantes",,,,,,,
508426,6,01.47.14,01.47.1,"Canards et pintades, vivants",,,,,,,
508427,5,01.47.2,01.47,"Œufs, en coquille, frais",,,,,,,
508428,6,01.47.21,01.47.2,"Œufs de poule, en coquille, frais",,,,,,,
508429,6,01.47.22,01.47.2,"Œufs d’autres volailles, en coquille, frais",,,,,,,
508430,6,01.47.23,01.47.2,"Œufs, à couver",,,,,,,
508431,4,01.49,01.4,Autres animaux d’élevage et produits d’origine animale,,,,,,,
508432,5,01.49.1,01.49,"Autres animaux d’élevage, vivants",,,,,,,
508433,6,01.49.11,01.49.1,"Lapins d’élevage, vivants",,,,,,,
508434,6,01.49.12,01.49.1,"Oiseaux d’élevage n.c.a., vivants",,,,,,,
508435,6,01.49.13,01.49.1,"Reptiles d’élevage (y compris serpents et tortues), vivants",,,,,,,
508436,6,01.49.19,01.49.1,"Autres animaux d’élevage n.c.a., vivants","Cette sous-catégorie comprend:
- les rennes
- les animaux à fourrure (à l’exclusion des lapins)
- les chats, chiens et autres animaux de compagnie
- les autres animaux d’élevage n.c.a.",,,,"This subcategory includes: 
- reindeer
- fur animals (except rabbits)
- cats, dogs and other pet animals
- diverse farmed animals n.e.c.",,
508437,5,01.49.2,01.49,Autres produits d’origine animale,,,,,,,
508438,6,01.49.21,01.49.2,Miel,,,,,,,
508439,6,01.49.22,01.49.2,Lait brut n.c.a.,,,,,,,
508440,6,01.49.23,01.49.2,"Escargots, frais, réfrigérés, congelés ou surgelés, séchés ou salés, à l’exclusion des escargots de mer",,,,,,,
508441,6,01.49.24,01.49.2,Produits comestibles d’origine animale n.c.a.,,,,,,,
508442,6,01.49.25,01.49.2,Cocons de vers à soie,,,,,,,
508443,6,01.49.26,01.49.2,"Cires d’insectes et spermaceti, affinés et colorés ou non",,,,,,,
508444,6,01.49.27,01.49.2,Embryons animaux destinés à la reproduction,,,,,,,
508445,6,01.49.28,01.49.2,Produits non comestibles d’origine animale n.c.a.,"Cette sous-catégorie comprend:
- les poils fins ou grossiers, non cardés, ni peignés",,,,"This subcategory includes:
- fine or coarse animal hair, not carded or combed",,
508446,5,01.49.3,01.49,Peaux et fourrures,,,,,,,
508447,6,01.49.31,01.49.3,"Fourrures d’élevage ou de piégeage, à l’exclusion des peaux d’agneaux",,,,,,,
508448,6,01.49.32,01.49.3,Peaux d’agneaux,,,,,,,
508449,6,01.49.39,01.49.3,"Peaux d’animaux n.c.a. (brutes ou conservées, mais non travaillées)",,,,,,,
508450,3,01.6,1,Services annexes à l’agriculture et à l’élevage (à l’exclusion des services vétérinaires),,,,,,,
508451,4,01.61,01.6,Services de soutien aux cultures,,,,,,,
508452,5,01.61.1,01.61,Services de soutien aux cultures,,,,,,,
508453,6,01.61.10,01.61.1,Services de soutien aux cultures,"Cette sous-catégorie comprend:
- la préparation des terres
- la plantation, culture et fertilisation des plantes
- la pulvérisation des récoltes, y compris par pulvérisation aérienne
- la protection phytosanitaire dans l’agriculture
- la taille des arbres fruitiers et des vignes
- le repiquage et démariage des plants
- la récolte
- la mise à disposition de machines agricoles avec conducteur et personnel
- le maintien des terres agricoles en bon état sur les plans agricole et écologique
- l’exploitation de systèmes d’irrigation à des fins agricoles",,"Cette sous-catégorie ne comprend pas:
- les services de distribution d’eau par réseau, les services d’exploitation de canaux d’irrigation, voir 36.00.20
- les services d’architectes paysagers, voir 71.11.4
- les services fournis par des agronomes et des spécialistes de l’économie agricole, voir 74.90.19
- les autres services de protection phytosanitaire, voir 81.29.11
- les services d’aménagement paysager non liés à l’agriculture, voir 81.30.10
- l’organisation de salons et foires agricoles, voir 82.30.12",,"This subcategory includes:
- preparation of fields
- planting, cultivation and fertilisation of crops
- crop spraying, including from the air
- pest control for agriculture
- trimming of fruit trees and vines
- transplanting and thinning of crops
- harvesting
- provision of agricultural machinery with crew and operators
- maintenance of agricultural land in good agricultural and ecological condition
- operation of irrigation systems for agricultural purposes",,"This subcategory excludes:
- water distribution services through mains, operation services of irrigation canals, see 36.00.20
- landscape architects services, see 71.11.4
- services provided by agronomists and agricultural economists, see 74.90.19
- other pest control services, see 81.29.11
- landscape services not related to agriculture, see 81.30.10
- organisation of agricultural shows and fairs, see 82.30.12"
508454,4,01.62,01.6,Services de soutien à la production animale,,,,,,,
508455,5,01.62.1,01.62,Services de soutien à la production animale,,,,,,,
508456,6,01.62.10,01.62.1,Services de soutien à la production animale,"Cette sous-catégorie comprend:
- les services promouvant le repeuplement, la croissance et le rendement d’animaux
- les services de comparaison du rendement des troupeaux, de conduite de troupeaux, de paissance, de castration de volailles, de calibrage des œufs, etc.
- les services de tonte d’ovins
- les services d’hébergement et d’entretien d’animaux de ferme
- le nettoyage de bâtiments agricoles (poulaillers, porcheries, etc.)
- les services des haras
- les services en rapport avec l’insémination artificielle","Cette sous-catégorie comprend également:
- les services des maréchaux-ferrants","Cette sous-catégorie ne comprend pas:
- la fourniture d’espace pour les activités de prise en pension d’animaux uniquement, voir 68.20.12
- les services fournis par des agronomes et des spécialistes de l’économie agricole, voir 74.90.19
- la vaccination d’animaux et les autres services vétérinaires, voir 75.00.1
- les services d’équitation de loisir, voir 93.11.10
- l’hébergement et l’entretien d’animaux de compagnie, voir 96.09.11",,"This subcategory includes:
- services promoting propagation, growth and output of animals
- herd testing services, droving services, agistment services, poultry caponising services, grading of eggs etc.
- sheep shearing services
- farm animals boarding and care services
- cleaning of agricultural premises (hen houses, piggeries, etc.)
- stud services
- services related to artificial insemination","This subcategory also includes:
- services of farriers","This subcategory excludes:
- provision of space for animal boarding only, see 68.20.12
- services provided by agronomists and agricultural economists, see 74.90.19
- vaccination of animals and other veterinary services, see 75.00.1
- recreational riding services, see 93.11.10
- pet animals boarding and care, see 96.09.11"
508457,4,01.63,01.6,Traitement primaire des récoltes,,,,,,,
508458,5,01.63.1,01.63,Traitement primaire des récoltes,,,,,,,
508459,6,01.63.10,01.63.1,Traitement primaire des récoltes,"Cette sous-catégorie comprend:
- les services de préparation des cultures en vue de leur commercialisation primaire: nettoyage, taille, triage, désinfection, séchage, décorticage
- l’égrenage du coton
- les services de préparation des feuilles de tabac, par exemple: séchage
- les services de préparation des fèves de cacao, par exemple: écabossage
- le paraffinage de fruits",,"Cette sous-catégorie ne comprend pas:
- les services de préparation des produits agricoles par le producteur, voir classe correspondante dans les groupes 01.1, 01.2 ou 01.3.
- les services d’écôtage et de resséchage des feuilles de tabac, voir 12.00.1
- les services marchands des intermédiaires du commerce et des associations coopératives, voir division 46
- les services de commerce de gros de produits agricoles bruts, voir 46.2","Agricultural products (Drying of…)

Problem statement: Drying is mentioned both in explanatory notes for agriculture and food manufacturing.

Solution: UN TSG decision for ISIC Rev.4, applicable also for NACE Rev. 2:
 
. NACE Rev. 2 class 01.63 (Post-harvest crop activities) includes drying activities where no manufacturing-type equipment is used, for example sun-drying of fruit and vegetables, air-drying of forage plants etc.
. Division 10 (Manufacture of food products) includes industrial drying activities (dehydration by artificial means), according to the product class: NACE Rev. 2 class 10.31 (Processing and preserving of potatoes) includes industrial dehydrating of potatoes, 10.39 (Other processing and preserving of fruit and vegetables) includes industrial dehydrating of other fruit and vegetables etc.

Decision date: 01.07.2007","This subcategory includes: 
- preparation services for primary markets, i.e. cleaning, trimming, grading, disinfecting, drying, shelling
- cotton ginning
- preparation services for tobacco leaves, e.g. drying
- preparation services for cocoa beans, e.g. peeling
- waxing of fruit",,"This subcategory excludes:
- preparation services of agricultural products by the producer, see corresponding class in groups 01.1, 01.2 or 01.3
- stemming and redrying services for tobacco, see 12.00.1
- marketing services of commission merchants and cooperative associations, see division 46
- wholesale services of agricultural raw materials, see 46.2"
508460,4,01.64,01.6,Traitement des semences,,,,,,,
508461,5,01.64.1,01.64,Traitement des semences,,,,,,,
508462,6,01.64.10,01.64.1,Traitement des semences,"Cette sous-catégorie comprend:
- les services visant à améliorer la qualité des semences, y compris le traitement de céréales génétiquement modifiées:
  . retrait des impuretés, des semences de trop petite taille ou rongées par la machine ou par des insectes et des semences immatures
  . retrait de la moisissure afin de garantir des bonnes conditions d’entreposage
  . séchage, nettoyage, triage et traitement des semences jusqu’à leur commercialisation",,"Cette sous-catégorie ne comprend pas:
- la production de semences, voir groupes 01.1 et 01.2
- les services de traitement des graines en vue d’obtenir de l’huile, voir 10.41
- les services de recherche pour développer de nouvelles formes de graines ou les modifier, voir 72.11.13",,"This subcategory includes: 
- services to improve the propagation quality of the seed, including treatment of genetically modified seeds:
  . removal of non-seed materials, undersized, mechanically or insect-damaged and immature seeds
  . removal of seed moisture to a safe level for seed storage
  . drying, cleaning, grading and treating of seeds until they are marketed",,"This subcategory excludes:
- growing of seeds, see groups 01.1 and 01.2
- processing services for seeds to obtain oil, see 10.41
- research services to develop or modify new forms of seeds, see 72.11.13"
508463,3,01.7,1,"Chasse, piégeage et services annexes",,,,,,,
508464,4,01.70,01.7,"Chasse, piégeage et services annexes",,,,,,,
508465,5,01.70.1,01.70,"Chasse, piégeage et services annexes",,,,,,,
